"","Type","mean","q2.5","q97.5"
"PA_model.1","OS",0.144038071934932,0.0444376010707558,0.324685596913555
"PA_model.2","TL",1.62575570495394,0.709885949022191,4.33110548237348
"PA_model.3","SB",0.375266646456606,0.177816202199962,0.709866826691848
"PA_model.4","NV",2.09842892819716,1.31198435409496,3.3865871135271
"AbCOP_model.1","OS",8.02851562486321,1.73032895148648,14.3657811560085
"AbCOP_model.2","TL",13.2635202077891,7.53244680346181,18.62113734322
"AbCOP_model.3","SB",9.95620869560123,3.48812976005761,16.2912080790433
"AbCOP_model.4","NV",17.0245448835041,12.2336275751452,21.7032740072286
