"","Lithology","mean","q2.5","q97.5"
"PA_model.1","Limestone",0.895826237787113,0.452019600254587,1.76075899256463
"PA_model.2","Alluvial",0.254202920746178,0.0889290026226931,0.65667025628357
"PA_model.3","Marl",0.16650464778005,0.0566293948789562,0.350916402645118
"PA_model.4","Metamorphic",0.721210423469965,0.217420487297043,2.61027924844843
"AbCOP_model.1","Limestone",10.9884381673487,6.44959177423984,15.6329406348836
"AbCOP_model.2","Alluvial",12.5197484488532,6.63358716130469,18.1156590748307
"AbCOP_model.3","Marl",7.71043763063176,1.37698232309562,14.1448764458437
"AbCOP_model.4","Metamorphic",8.13022519496833,2.32837420006495,14.0465301093889
